時刻,名前,メッセージ
2026/04/30 04:16,SYSTEM,"
            <div style=""display: flex; justify-content: center; margin: 10px 0;"">
                <div style=""background-color: #f0f2f6; color: #555555; padding: 4px 15px; border-radius: 20px; font-size: 0.75em; border: 1px solid #e0e0e0;"">
                    📢 04:16 | 正恩班_大阪駅が 🎲 5 を投げました
                </div>
            </div>
            "
2026/04/30 04:17,SYSTEM,"
            <div style=""display: flex; justify-content: center; margin: 10px 0;"">
                <div style=""background-color: #f0f2f6; color: #555555; padding: 4px 15px; border-radius: 20px; font-size: 0.75em; border: 1px solid #e0e0e0;"">
                    📢 04:17 | 正恩班_大阪駅が 🎲 2 を投げました
                </div>
            </div>
            "
